sim_time_s,tm_rate_per_s,delta_tm_pct,baseline_tm_rate
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
24.9981,0.0000,-100.0000,5.0000
25.9981,0.0000,-100.0000,5.0000
26.9981,0.0000,-100.0000,5.0000
27.9981,0.0000,-100.0000,5.0000
28.9981,0.0000,-100.0000,5.0000
29.9981,0.0000,-100.0000,5.0000
30.9981,0.0000,-100.0000,5.0000
31.9981,0.0000,-100.0000,5.0000
32.9981,0.0000,-100.0000,5.0000
33.9981,0.0000,-100.0000,5.0000
34.9981,0.0000,-100.0000,5.0000
35.9981,0.0000,-100.0000,5.0000
36.9981,0.0000,-100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,0.0000,-100.0000,5.0000
3.9981,0.0000,-100.0000,5.0000
4.9981,0.0000,-100.0000,5.0000
5.9981,0.0000,-100.0000,5.0000
6.9981,0.0000,-100.0000,5.0000
7.9981,0.0000,-100.0000,5.0000
8.9981,0.0000,-100.0000,5.0000
9.9981,0.0000,-100.0000,5.0000
10.9981,0.0000,-100.0000,5.0000
11.9981,0.0000,-100.0000,5.0000
12.9981,0.0000,-100.0000,5.0000
13.9981,0.0000,-100.0000,5.0000
14.9981,0.0000,-100.0000,5.0000
15.9981,0.0000,-100.0000,5.0000
16.9981,0.0000,-100.0000,5.0000
17.9981,0.0000,-100.0000,5.0000
18.9981,0.0000,-100.0000,5.0000
19.9981,0.0000,-100.0000,5.0000
20.9981,0.0000,-100.0000,5.0000
21.9981,0.0000,-100.0000,5.0000
22.9981,0.0000,-100.0000,5.0000
23.9981,0.0000,-100.0000,5.0000
24.9981,0.0000,-100.0000,5.0000
25.9981,0.0000,-100.0000,5.0000
26.9981,0.0000,-100.0000,5.0000
