sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
5.9981,440,440,0.0000
6.9981,582,582,0.0000
7.9981,720,720,0.0000
8.9981,860,860,0.0000
9.9981,1002,1002,0.0000
10.9981,1140,1140,0.0000
11.9981,1280,1280,0.0000
12.9981,1422,1422,0.0000
13.9981,1560,1560,0.0000
14.9981,1700,1700,0.0000
15.9981,1842,1842,0.0000
16.9981,1980,1980,0.0000
17.9981,2120,2120,0.0000
18.9981,2262,2262,0.0000
19.9981,2400,2400,0.0000
20.9981,2540,2540,0.0000
21.9981,2682,2682,0.0000
22.9981,2820,2820,0.0000
23.9981,2960,2960,0.0000
1.9981,0,0,0.0000
2.9981,44,44,0.0000
3.9981,162,162,0.0000
4.9981,344,344,0.0000
5.9981,594,594,0.0000
6.9981,868,868,0.0000
7.9981,1140,1140,0.0000
8.9981,1414,1414,0.0000
9.9981,1688,1688,0.0000
10.9981,1960,1960,0.0000
11.9981,2234,2234,0.0000
12.9981,2508,2508,0.0000
13.9981,2780,2780,0.0000
14.9981,3054,3054,0.0000
15.9981,3328,3328,0.0000
16.9981,3600,3600,0.0000
17.9981,3874,3874,0.0000
18.9981,4148,4148,0.0000
19.9981,4420,4420,0.0000
20.9981,4694,4694,0.0000
21.9981,4968,4968,0.0000
22.9981,5240,5240,0.0000
23.9981,5514,5514,0.0000
24.9981,5788,5788,0.0000
25.9981,6060,6060,0.0000
26.9981,6334,6334,0.0000
27.9981,6608,6608,0.0000
28.9981,6880,6880,0.0000
29.9981,7154,7154,0.0000
30.9981,7428,7428,0.0000
31.9981,7700,7700,0.0000
32.9981,7974,7974,0.0000
33.9981,8248,8248,0.0000
34.9981,8520,8520,0.0000
35.9981,8794,8794,0.0000
36.9981,9068,9068,0.0000
37.9981,9340,9340,0.0000
38.9981,9614,9614,0.0000
39.9981,9888,9888,0.0000
40.9981,10160,10160,0.0000
41.9981,10434,10434,0.0000
42.9981,10708,10708,0.0000
43.9981,10980,10980,0.0000
44.9981,11254,11254,0.0000
45.9981,11528,11528,0.0000
1.9981,0,0,0.0000
2.9981,44,44,0.0000
3.9981,162,162,0.0000
4.9981,344,344,0.0000
5.9981,594,594,0.0000
6.9981,912,912,0.0000
7.9981,1294,1294,0.0000
8.9981,1700,1700,0.0000
9.9981,2108,2108,0.0000
10.9981,2514,2514,0.0000
11.9981,2920,2920,0.0000
12.9981,3328,3328,0.0000
13.9981,3734,3734,0.0000
14.9981,4140,4140,0.0000
15.9981,4548,4548,0.0000
16.9981,4954,4954,0.0000
17.9981,5360,5360,0.0000
18.9981,5768,5768,0.0000
19.9981,6174,6174,0.0000
20.9981,6580,6580,0.0000
21.9981,6988,6988,0.0000
22.9981,7394,7394,0.0000
23.9981,7800,7800,0.0000
24.9981,8208,8208,0.0000
25.9981,8614,8614,0.0000
26.9981,9020,9020,0.0000
27.9981,9428,9428,0.0000
28.9981,9834,9834,0.0000
29.9981,10240,10240,0.0000
30.9981,10648,10648,0.0000
31.9981,11054,11054,0.0000
32.9981,11460,11460,0.0000
33.9981,11868,11868,0.0000
34.9981,12274,12274,0.0000
35.9981,12680,12680,0.0000
36.9981,13088,13088,0.0000
1.9981,0,0,0.0000
2.9981,44,44,0.0000
3.9981,162,162,0.0000
4.9981,344,344,0.0000
5.9981,594,594,0.0000
6.9981,912,912,0.0000
7.9981,1294,1294,0.0000
8.9981,1744,1744,0.0000
9.9981,2262,2262,0.0000
10.9981,2800,2800,0.0000
11.9981,3340,3340,0.0000
12.9981,3882,3882,0.0000
13.9981,4420,4420,0.0000
14.9981,4960,4960,0.0000
15.9981,5502,5502,0.0000
16.9981,6040,6040,0.0000
17.9981,6580,6580,0.0000
18.9981,7122,7122,0.0000
19.9981,7660,7660,0.0000
20.9981,8200,8200,0.0000
21.9981,8742,8742,0.0000
22.9981,9280,9280,0.0000
23.9981,9820,9820,0.0000
24.9981,10362,10362,0.0000
25.9981,10900,10900,0.0000
26.9981,11440,11440,0.0000
