sim_time_s,global_tp,global_tn,global_fp,global_fn,accuracy,fpr,mcc,f1_v1,f1_v2,f1_v3,pdr,avg_latency_ms,tm_rate_per_s,tm_delta_pct,broadcast_amplification_gamma,alert_depth_max,eps_topo,flowmod_excess_rate,avg_mitigation_latency_ms,cpu_pct,mem_mb
19.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,507.8988,141.5078
20.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,507.7607,141.5078
21.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,507.0443,141.5078
22.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,506.7380,141.5078
23.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,506.4155,141.5078
24.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,505.7188,141.5078
25.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,505.0373,141.5078
26.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,506.1471,141.5078
27.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,505.6418,141.5078
28.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,505.1714,141.5078
