sim_time_s,cpu_percent,mem_mb
13.00,512.23,141.54
14.00,512.78,141.54
15.00,511.47,141.54
16.00,510.00,141.54
17.00,509.00,141.54
18.00,508.67,141.54
19.00,508.47,141.54
20.00,508.85,141.54
21.00,508.57,141.54
22.00,508.45,141.54
23.00,507.69,141.54
24.00,507.50,141.54
25.00,506.80,141.54
26.00,506.15,141.54
27.00,506.89,141.54
