sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
5.9981,9078,0,0.0000
6.9981,9078,0,0.0000
7.9981,13539,0,0.0000
8.9981,13539,0,0.0000
9.9981,17932,0,0.0000
10.9981,17932,0,0.0000
11.9981,17932,0,0.0000
12.9981,22266,0,0.0000
13.9981,22266,0,0.0000
14.9981,26779,0,0.0000
15.9981,26779,0,0.0000
16.9981,26779,0,0.0000
17.9981,31226,0,0.0000
18.9981,31226,0,0.0000
19.9981,35645,0,0.0000
20.9981,35645,0,0.0000
21.9981,35645,0,0.0000
22.9981,39924,0,0.0000
23.9981,39924,0,0.0000
24.9981,44135,0,0.0000
25.9981,44135,0,0.0000
26.9981,44135,0,0.0000
27.9981,48342,0,0.0000
28.9981,48342,0,0.0000
1.9981,0,0,0.0000
2.9981,883,0,0.0000
3.9981,884,0,0.0000
4.9981,1727,0,0.0000
5.9981,1728,0,0.0000
6.9981,1728,0,0.0000
7.9981,2525,0,0.0000
8.9981,2526,0,0.0000
9.9981,3341,0,0.0000
10.9981,3342,0,0.0000
11.9981,3342,0,0.0000
12.9981,4100,0,0.0000
13.9981,4101,0,0.0000
14.9981,4913,0,0.0000
15.9981,4914,0,0.0000
16.9981,4914,0,0.0000
17.9981,5731,0,0.0000
18.9981,5732,0,0.0000
19.9981,6620,0,0.0000
20.9981,6621,0,0.0000
21.9981,6621,0,0.0000
22.9981,7460,0,0.0000
23.9981,7461,0,0.0000
24.9981,8222,0,0.0000
25.9981,8223,0,0.0000
26.9981,8223,0,0.0000
27.9981,9042,0,0.0000
28.9981,9043,0,0.0000
1.9981,0,0,0.0000
2.9981,1737,0,0.0000
3.9981,1738,0,0.0000
4.9981,3360,0,0.0000
5.9981,3361,0,0.0000
6.9981,3361,0,0.0000
7.9981,5005,0,0.0000
8.9981,5006,0,0.0000
9.9981,6611,0,0.0000
10.9981,6612,0,0.0000
11.9981,6612,0,0.0000
12.9981,8168,0,0.0000
13.9981,8169,0,0.0000
14.9981,9752,0,0.0000
15.9981,9753,0,0.0000
16.9981,9753,0,0.0000
17.9981,11359,0,0.0000
18.9981,11360,0,0.0000
19.9981,13025,0,0.0000
20.9981,13026,0,0.0000
21.9981,13026,0,0.0000
22.9981,14582,0,0.0000
23.9981,14583,0,0.0000
24.9981,16156,0,0.0000
25.9981,16157,0,0.0000
26.9981,16157,0,0.0000
27.9981,17730,0,0.0000
28.9981,17731,0,0.0000
1.9981,0,0,0.0000
2.9981,2594,0,0.0000
3.9981,2595,0,0.0000
4.9981,5165,0,0.0000
5.9981,5166,0,0.0000
6.9981,5166,0,0.0000
7.9981,7708,0,0.0000
8.9981,7709,0,0.0000
9.9981,10206,0,0.0000
10.9981,10207,0,0.0000
11.9981,10207,0,0.0000
12.9981,12631,0,0.0000
13.9981,12632,0,0.0000
14.9981,15131,0,0.0000
15.9981,15132,0,0.0000
16.9981,15132,0,0.0000
17.9981,17620,0,0.0000
18.9981,17621,0,0.0000
19.9981,20093,0,0.0000
20.9981,20094,0,0.0000
21.9981,20094,0,0.0000
22.9981,22560,0,0.0000
23.9981,22561,0,0.0000
24.9981,25009,0,0.0000
25.9981,25010,0,0.0000
26.9981,25010,0,0.0000
27.9981,27428,0,0.0000
28.9981,27429,0,0.0000
1.9981,0,0,0.0000
2.9981,3386,0,0.0000
3.9981,3387,0,0.0000
4.9981,6717,0,0.0000
5.9981,6718,0,0.0000
6.9981,6718,0,0.0000
7.9981,10046,0,0.0000
8.9981,10047,0,0.0000
9.9981,13216,0,0.0000
10.9981,13217,0,0.0000
11.9981,13217,0,0.0000
12.9981,16267,0,0.0000
13.9981,16268,0,0.0000
14.9981,19447,0,0.0000
15.9981,19448,0,0.0000
16.9981,19448,0,0.0000
17.9981,22560,0,0.0000
18.9981,22561,0,0.0000
19.9981,25752,0,0.0000
20.9981,25753,0,0.0000
21.9981,25753,0,0.0000
22.9981,28907,0,0.0000
23.9981,28908,0,0.0000
24.9981,32037,0,0.0000
25.9981,32038,0,0.0000
26.9981,32038,0,0.0000
27.9981,34992,0,0.0000
28.9981,34993,0,0.0000
1.9981,0,0,0.0000
2.9981,3947,0,0.0000
3.9981,3948,0,0.0000
4.9981,7832,0,0.0000
5.9981,7833,0,0.0000
6.9981,7833,0,0.0000
7.9981,11633,0,0.0000
8.9981,11634,0,0.0000
9.9981,15335,0,0.0000
10.9981,15336,0,0.0000
11.9981,15336,0,0.0000
12.9981,19097,0,0.0000
13.9981,19098,0,0.0000
14.9981,22797,0,0.0000
15.9981,22798,0,0.0000
16.9981,22798,0,0.0000
17.9981,26524,0,0.0000
18.9981,26525,0,0.0000
19.9981,30280,0,0.0000
20.9981,30281,0,0.0000
21.9981,30281,0,0.0000
22.9981,34001,0,0.0000
23.9981,34002,0,0.0000
24.9981,37560,0,0.0000
25.9981,37561,0,0.0000
26.9981,37561,0,0.0000
27.9981,41113,0,0.0000
28.9981,41114,0,0.0000
1.9981,0,0,0.0000
2.9981,4606,0,0.0000
3.9981,4607,0,0.0000
4.9981,9201,0,0.0000
5.9981,9202,0,0.0000
6.9981,9202,0,0.0000
7.9981,13673,0,0.0000
8.9981,13674,0,0.0000
9.9981,18180,0,0.0000
10.9981,18181,0,0.0000
11.9981,18181,0,0.0000
12.9981,22444,0,0.0000
13.9981,22445,0,0.0000
14.9981,26945,0,0.0000
15.9981,26946,0,0.0000
16.9981,26946,0,0.0000
17.9981,31245,0,0.0000
18.9981,31246,0,0.0000
19.9981,35665,0,0.0000
20.9981,35666,0,0.0000
21.9981,35666,0,0.0000
22.9981,39949,0,0.0000
23.9981,39950,0,0.0000
24.9981,44161,0,0.0000
25.9981,44162,0,0.0000
26.9981,44162,0,0.0000
27.9981,48462,0,0.0000
28.9981,48463,0,0.0000
1.9981,0,0,0.0000
2.9981,120,120,40.0256
3.9981,210,210,52.5252
4.9981,300,300,60.0230
5.9981,420,420,70.0224
6.9981,510,510,72.8771
7.9981,600,600,75.0180
8.9981,720,720,80.0171
9.9981,810,810,81.0156
10.9981,900,900,81.8325
11.9981,1020,1020,85.0136
12.9981,1110,1110,85.3972
13.9981,1200,1200,85.7260
14.9981,1320,1320,88.0113
15.9981,1410,1410,88.1356
16.9981,1500,1500,88.2453
17.9981,1620,1620,90.0096
18.9981,1710,1710,90.0091
19.9981,1800,1800,90.0086
20.9981,1920,1920,91.4369
21.9981,2010,2010,91.3716
22.9981,2100,2100,91.3120
23.9981,2220,2220,92.5074
24.9981,2310,2310,92.4071
25.9981,2400,2400,92.3145
26.9981,2520,2520,93.3400
27.9981,2610,2610,93.2207
28.9981,2700,2700,93.1096
1.9981,0,0,0.0000
2.9981,240,240,80.0512
3.9981,420,420,105.0504
4.9981,600,600,120.0461
5.9981,840,840,140.0448
6.9981,1020,1020,145.7543
7.9981,1200,1200,150.0360
8.9981,1440,1440,160.0341
9.9981,1620,1620,162.0311
10.9981,1800,1800,163.6649
11.9981,2040,2040,170.0272
12.9981,2220,2220,170.7945
13.9981,2400,2400,171.4521
14.9981,2640,2640,176.0225
15.9981,2820,2820,176.2712
16.9981,3000,3000,176.4905
17.9981,3240,3240,180.0192
18.9981,3420,3420,180.0182
19.9981,3600,3600,180.0173
20.9981,3840,3840,182.8739
21.9981,4020,4020,182.7432
22.9981,4200,4200,182.6239
23.9981,4440,4440,185.0148
24.9981,4620,4620,184.8142
25.9981,4800,4800,184.6290
26.9981,5040,5040,186.6799
27.9981,5220,5220,186.4414
28.9981,5400,5400,186.2192
1.9981,0,0,0.0000
2.9981,360,360,120.0768
3.9981,630,630,157.5756
4.9981,900,900,180.0691
5.9981,1260,1260,210.0672
6.9981,1530,1530,218.6314
7.9981,1800,1800,225.0540
8.9981,2160,2160,240.0512
9.9981,2430,2430,243.0467
10.9981,2700,2700,245.4974
11.9981,3060,3060,255.0408
12.9981,3330,3330,256.1917
13.9981,3600,3600,257.1781
14.9981,3960,3960,264.0338
15.9981,4230,4230,264.4067
16.9981,4500,4500,264.7358
17.9981,4860,4860,270.0288
18.9981,5130,5130,270.0273
19.9981,5400,5400,270.0259
20.9981,5760,5760,274.3108
21.9981,6030,6030,274.1148
22.9981,6300,6300,273.9359
23.9981,6660,6660,277.5222
24.9981,6930,6930,277.2213
