variant,mu,gamma,val_MCC
V1,0.3,0.56,0.6764
V1,0.3,0.57,0.6829
V1,0.3,0.58,0.6841
V1,0.3,0.59,0.6858
V1,0.3,0.6,0.6866
V1,0.3,0.61,0.6907
V1,0.3,0.62,0.6945
V1,0.3,0.63,0.6971
V1,0.3,0.64,0.6992
V1,0.3,0.65,0.6996
V1,0.3,0.66,0.7009
V1,0.3,0.67,0.7022
V1,0.3,0.68,0.7048
V1,0.3,0.69,0.7061
V1,0.3,0.7,0.707
V1,0.3,0.71,0.7091
V1,0.3,0.72,0.7103
V1,0.3,0.73,0.7085
V1,0.3,0.74,0.7077
V1,0.3,0.75,0.7016
V1,0.3,0.76,0.6991
V1,0.3,0.77,0.6974
V1,0.3,0.78,0.6921
V1,0.3,0.79,0.6809
V1,0.3,0.8,0.6626
V1,0.3,0.81,0.6273
V1,0.3,0.82,0.578
V1,0.3,0.83,0.5187
V1,0.3,0.84,0.4602
V1,0.3,0.85,0.3863
V1,0.3,0.86,0.2811
V1,0.3,0.87,0.231
V1,0.3,0.88,0.167
V1,0.3,0.89,0.09
V1,0.3,0.9,0.0157
V1,0.3,0.91,0.0
V1,0.3,0.92,0.0
V1,0.3,0.93,0.0
V1,0.3,0.94,0.0
V1,0.3,0.95,0.0
V1,0.35,0.05,0.6274
V1,0.35,0.06,0.6642
V1,0.35,0.07,0.6642
V1,0.35,0.08,0.6642
V1,0.35,0.09,0.6642
V1,0.35,0.1,0.6642
V1,0.35,0.11,0.6642
V1,0.35,0.12,0.6642
V1,0.35,0.13,0.6642
V1,0.35,0.14,0.6642
V1,0.35,0.15,0.6642
V1,0.35,0.16,0.6642
V1,0.35,0.17,0.6642
V1,0.35,0.18,0.6642
V1,0.35,0.19,0.6642
V1,0.35,0.2,0.6642
V1,0.35,0.21,0.6642
V1,0.35,0.22,0.6642
V1,0.35,0.23,0.6642
V1,0.35,0.24,0.6642
V1,0.35,0.25,0.6642
V1,0.35,0.26,0.6642
V1,0.35,0.27,0.6642
V1,0.35,0.28,0.6642
V1,0.35,0.29,0.6642
V1,0.35,0.3,0.6642
V1,0.35,0.31,0.6642
V1,0.35,0.32,0.6642
V1,0.35,0.33,0.6642
V1,0.35,0.34,0.6642
V1,0.35,0.35,0.6642
V1,0.35,0.36,0.6642
V1,0.35,0.37,0.6642
V1,0.35,0.38,0.6642
V1,0.35,0.39,0.6642
V1,0.35,0.4,0.6642
V1,0.35,0.41,0.6642
V1,0.35,0.42,0.6642
V1,0.35,0.43,0.6642
V1,0.35,0.44,0.6642
V1,0.35,0.45,0.6642
V1,0.35,0.46,0.6642
V1,0.35,0.47,0.6642
V1,0.35,0.48,0.6642
V1,0.35,0.49,0.6642
V1,0.35,0.5,0.6642
V1,0.35,0.51,0.6642
V1,0.35,0.52,0.6756
V1,0.35,0.53,0.6817
V1,0.35,0.54,0.6833
V1,0.35,0.55,0.6849
V1,0.35,0.56,0.6862
V1,0.35,0.57,0.6899
V1,0.35,0.58,0.6937
V1,0.35,0.59,0.6954
V1,0.35,0.6,0.6979
V1,0.35,0.61,0.6992
V1,0.35,0.62,0.6996
V1,0.35,0.63,0.7005
V1,0.35,0.64,0.7022
V1,0.35,0.65,0.7035
V1,0.35,0.66,0.7052
V1,0.35,0.67,0.7061
V1,0.35,0.68,0.7074
V1,0.35,0.69,0.7091
V1,0.35,0.7,0.7094
V1,0.35,0.71,0.7075
V1,0.35,0.72,0.7057
V1,0.35,0.73,0.7016
V1,0.35,0.74,0.6986
V1,0.35,0.75,0.6978
V1,0.35,0.76,0.6946
V1,0.35,0.77,0.6874
V1,0.35,0.78,0.6721
V1,0.35,0.79,0.6585
V1,0.35,0.8,0.6308
V1,0.35,0.81,0.5854
V1,0.35,0.82,0.529
V1,0.35,0.83,0.4827
V1,0.35,0.84,0.4247
V1,0.35,0.85,0.3405
V1,0.35,0.86,0.3026
V1,0.35,0.87,0.2328
V1,0.35,0.88,0.1767
V1,0.35,0.89,0.13
V1,0.35,0.9,0.0505
V1,0.35,0.91,-0.0065
V1,0.35,0.92,0.0
V1,0.35,0.93,0.0
V1,0.35,0.94,0.0
V1,0.35,0.95,0.0
V1,0.4,0.05,0.6642
V1,0.4,0.06,0.6642
V1,0.4,0.07,0.6642
V1,0.4,0.08,0.6642
V1,0.4,0.09,0.6642
V1,0.4,0.1,0.6642
V1,0.4,0.11,0.6642
V1,0.4,0.12,0.6642
V1,0.4,0.13,0.6642
V1,0.4,0.14,0.6642
V1,0.4,0.15,0.6642
V1,0.4,0.16,0.6642
V1,0.4,0.17,0.6642
V1,0.4,0.18,0.6642
V1,0.4,0.19,0.6642
V1,0.4,0.2,0.6642
V1,0.4,0.21,0.6642
V1,0.4,0.22,0.6642
V1,0.4,0.23,0.6642
V1,0.4,0.24,0.6642
V1,0.4,0.25,0.6642
V1,0.4,0.26,0.6642
V1,0.4,0.27,0.6642
V1,0.4,0.28,0.6642
V1,0.4,0.29,0.6642
V1,0.4,0.3,0.6642
V1,0.4,0.31,0.6642
V1,0.4,0.32,0.6642
V1,0.4,0.33,0.6642
V1,0.4,0.34,0.6642
V1,0.4,0.35,0.6642
V1,0.4,0.36,0.6642
V1,0.4,0.37,0.6642
V1,0.4,0.38,0.6642
V1,0.4,0.39,0.6642
V1,0.4,0.4,0.6642
V1,0.4,0.41,0.6642
V1,0.4,0.42,0.6642
V1,0.4,0.43,0.6642
V1,0.4,0.44,0.6642
V1,0.4,0.45,0.6642
V1,0.4,0.46,0.6642
V1,0.4,0.47,0.6642
V1,0.4,0.48,0.6744
V1,0.4,0.49,0.6813
V1,0.4,0.5,0.6829
V1,0.4,0.51,0.6845
V1,0.4,0.52,0.6866
V1,0.4,0.53,0.6907
V1,0.4,0.54,0.6928
V1,0.4,0.55,0.6949
V1,0.4,0.56,0.6962
V1,0.4,0.57,0.6983
V1,0.4,0.58,0.6992
V1,0.4,0.59,0.6996
V1,0.4,0.6,0.7009
V1,0.4,0.61,0.7018
V1,0.4,0.62,0.703
V1,0.4,0.63,0.7043
V1,0.4,0.64,0.7056
V1,0.4,0.65,0.7065
V1,0.4,0.66,0.7083
V1,0.4,0.67,0.7096
V1,0.4,0.68,0.7089
V1,0.4,0.69,0.7085
V1,0.4,0.7,0.7057
V1,0.4,0.71,0.7012
V1,0.4,0.72,0.7008
V1,0.4,0.73,0.6985
V1,0.4,0.74,0.6939
V1,0.4,0.75,0.6912
V1,0.4,0.76,0.6839
V1,0.4,0.77,0.665
V1,0.4,0.78,0.6565
V1,0.4,0.79,0.6313
V1,0.4,0.8,0.5925
V1,0.4,0.81,0.5456
V1,0.4,0.82,0.502
V1,0.4,0.83,0.4559
V1,0.4,0.84,0.3875
V1,0.4,0.85,0.319
V1,0.4,0.86,0.2886
V1,0.4,0.87,0.2588
V1,0.4,0.88,0.1823
V1,0.4,0.89,0.1508
V1,0.4,0.9,0.0908
V1,0.4,0.91,0.0183
V1,0.4,0.92,0.0
V1,0.4,0.93,0.0
V1,0.4,0.94,0.0
V1,0.4,0.95,0.0
V1,0.45,0.05,0.6642
V1,0.45,0.06,0.6642
V1,0.45,0.07,0.6642
V1,0.45,0.08,0.6642
V1,0.45,0.09,0.6642
V1,0.45,0.1,0.6642
V1,0.45,0.11,0.6642
V1,0.45,0.12,0.6642
V1,0.45,0.13,0.6642
V1,0.45,0.14,0.6642
V1,0.45,0.15,0.6642
V1,0.45,0.16,0.6642
V1,0.45,0.17,0.6642
V1,0.45,0.18,0.6642
V1,0.45,0.19,0.6642
V1,0.45,0.2,0.6642
V1,0.45,0.21,0.6642
V1,0.45,0.22,0.6642
V1,0.45,0.23,0.6642
V1,0.45,0.24,0.6642
V1,0.45,0.25,0.6642
V1,0.45,0.26,0.6642
V1,0.45,0.27,0.6642
V1,0.45,0.28,0.6642
V1,0.45,0.29,0.6642
V1,0.45,0.3,0.6642
V1,0.45,0.31,0.6642
V1,0.45,0.32,0.6642
V1,0.45,0.33,0.6642
V1,0.45,0.34,0.6642
V1,0.45,0.35,0.6642
V1,0.45,0.36,0.6642
V1,0.45,0.37,0.6642
V1,0.45,0.38,0.6642
V1,0.45,0.39,0.6642
V1,0.45,0.4,0.6642
V1,0.45,0.41,0.6642
V1,0.45,0.42,0.6642
V1,0.45,0.43,0.6642
V1,0.45,0.44,0.674
V1,0.45,0.45,0.6805
V1,0.45,0.46,0.6829
V1,0.45,0.47,0.6837
V1,0.45,0.48,0.6878
V1,0.45,0.49,0.6916
V1,0.45,0.5,0.6928
V1,0.45,0.51,0.6941
V1,0.45,0.52,0.6954
V1,0.45,0.53,0.6966
V1,0.45,0.54,0.6983
V1,0.45,0.55,0.6996
V1,0.45,0.56,0.7
V1,0.45,0.57,0.7009
V1,0.45,0.58,0.7018
V1,0.45,0.59,0.703
V1,0.45,0.6,0.7039
